2.0905E-4;3.4951E11;6.2150E29;1.177
2.2059E-4;3.6883E11;6.4304E29;0.527
2.3114E-4;3.8650E11;6.5813E29;0.476
2.6426E-4;4.4199E11;6.9945E29;0.447
3.0533E-4;5.1080E11;7.4685E29;0.466
3.5331E-4;5.9119E11;8.0149E29;0.504
4.0764E-4;6.8224E11;8.6443E29;0.554
4.6800E-4;7.8339E11;9.3667E29;0.610
5.3414E-4;8.9426E11;1.0191E30;0.668
6.0594E-4;1.0146E12;1.1128E30;0.726
7.6608E-4;1.2831E12;1.3370E30;0.840
1.0471E-3;1.7543E12;1.7792E30;0.987
1.2616E-3;2.1141E12;2.1547E30;1.067
1.6246E-3;2.7232E12;2.8565E30;1.160
2.0384E-3;3.4178E12;3.7461E30;1.227
2.6726E-3;4.4827E12;5.2679E30;1.286
3.4064E-3;5.7153E12;7.2304E30;1.322
4.4746E-3;7.5106E12;1.0405E31;1.344
5.7260E-3;9.6148E12;1.4513E31;1.353
7.4963E-3;1.2593E13;2.0894E31;1.351
9.9795E-3;1.6774E13;3.0720E31;1.342
1.2513E-2;2.1042E13;4.1574E31;1.332
1.6547E-2;2.7844E13;6.0234E31;1.322
2.1405E-2;3.6043E13;8.4613E31;1.320
2.4157E-2;4.0688E13;9.9286E31;1.325
2.7894E-2;4.7001E13;1.2023E32;1.338
3.1941E-2;5.3843E13;1.4430E32;1.358
3.6264E-2;6.1153E13;1.7175E32;1.387
3.9888E-2;6.7284E13;1.9626E32;1.416
4.4578E-2;7.5224E13;2.3024E32;1.458
4.8425E-2;8.1738E13;2.6018E32;1.496
5.2327E-2;8.8350E13;2.9261E32;1.536
5.6264E-2;9.5022E13;3.2756E32;1.576
6.0219E-2;1.0173E14;3.6505E32;1.615
6.4183E-2;1.0845E14;4.0509E32;1.650
6.7163E-2;1.1351E14;4.3681E32;1.672
7.0154E-2;1.1859E14;4.6998E32;1.686
7.3174E-2;1.2372E14;5.0462E32;1.685
7.5226E-2;1.2720E14;5.2856E32;1.662
7.5959E-2;1.2845E14;5.3739E32;1.644
